id,title,filtered_words_str,label
R129,New Report on Election,"prevent,believe,factor.,give,network,past,forward,within,wait,improve.,rest,report,often,religious,ahead,nature.,nothing,interview,detail,water,suggest.,experts,discuss,ongoing,developments,election.",REAL
R227,New Report on Climate Change,"evidence,wonder,summer,fill.,rest,mouth,decide,growth,available.,force,whatever,measure.,experts,discuss,ongoing,developments,climate,change.",REAL
F231,Aliens Confirmed by Sources,"fact,blue,main,identify,energy.,hotel,build,color.,—,shocking,claims,aliens,surface,internet.",FAKE
R066,New Report on Policy,"general,affect,save.,simply,many,smile,quality,life,dark,court.,experts,discuss,ongoing,developments,policy.",REAL
F095,Mind Control Confirmed by Sources,"night,country,possible,challenge.,large,wonder,toward,even,tell.,wide,cause,office,teacher,newspaper.,—,shocking,claims,mind,control,surface,internet.",FAKE
R174,New Report on Policy,"attack,perhaps,seven.,matter,billion,choice,get,room,election.,experts,discuss,ongoing,developments,policy.",REAL
R201,New Report on Public Health,"natural,reason,word,anything,want,hair,peace,generation.,value,leg,administration,near,artist.,experts,discuss,ongoing,developments,public,health.",REAL
R072,New Report on Education,"agency,common,always,capital.,argue,day,blue,mission,future.,experts,discuss,ongoing,developments,education.",REAL
R064,New Report on Research,"call,around,activity,eye,responsibility.,produce,increase,camera.,give,glass,environment,general,population.,experts,discuss,ongoing,developments,research.",REAL
F037,Miracle Drug Confirmed by Sources,"life,may,suggest,stage,fly,focus.,notice,prevent,tell,discover,kind,film.,reason,according,manager,beautiful.,—,shocking,claims,miracle,drug,surface,internet.",FAKE
R170,New Report on Technology Breakthrough,"heart,rest,can.,chance,good,five,school,factor,onto.,mother,personal,space,message,government,health,white.,experts,discuss,ongoing,developments,technology,breakthrough.",REAL
F110,Celebrity Scandal Confirmed by Sources,"mr,crime,purpose,citizen,describe.,good,worry,majority,natural,lose.,information,effort,often,federal.,—,shocking,claims,celebrity,scandal,surface,internet.",FAKE
F048,Secret Cure Confirmed by Sources,"enough,book,left,human,top.,question,apply,woman,dinner.,growth,everyone,fund,task.,similar,early,table,build,think,type.,—,shocking,claims,secret,cure,surface,internet.",FAKE
F082,Hoax Confirmed by Sources,"cut,leader,police.,mission,easy,race,poor,have.,event,easy,change,remain,subject,like.,anyone,break,study,outside,personal.,—,shocking,claims,hoax,surface,internet.",FAKE
F187,Miracle Drug Confirmed by Sources,"site,significant,agency,offer.,doctor,week,police,along.,safe,year,cost.,—,shocking,claims,miracle,drug,surface,internet.",FAKE
F027,Miracle Drug Confirmed by Sources,"good,thus,student.,world,prove,explain.,—,shocking,claims,miracle,drug,surface,internet.",FAKE
F202,Hoax Confirmed by Sources,"religious,land,forward,various,tonight.,—,shocking,claims,hoax,surface,internet.",FAKE
F197,Secret Cure Confirmed by Sources,"power,organization,board,apply,north,risk.,remember,well,guy,water.,—,shocking,claims,secret,cure,surface,internet.",FAKE
R128,New Report on Climate Change,"conference,rest,occur,last.,former,car,magazine,material.,personal,debate,similar.,experts,discuss,ongoing,developments,climate,change.",REAL
F157,Government Cover-Up Confirmed by Sources,"trial,ground.,group,economy,money,score,game,pressure.,—,shocking,claims,government,cover-up,surface,internet.",FAKE
F117,Hoax Confirmed by Sources,"often,case,example,include,special,hear,we.,pick,half,finish,success,despite,challenge.,green,audience,final,left.,—,shocking,claims,hoax,surface,internet.",FAKE
F173,Secret Cure Confirmed by Sources,"professional,race,hair,official,character.,consider,personal,thank,image,case.,truth,page,stand,spend,history,live,free,whatever.,including,present,beyond,rise.,—,shocking,claims,secret,cure,surface,internet.",FAKE
F024,Aliens Confirmed by Sources,"certainly,according.,even,front,whose,month,answer,space,model,pretty.,—,shocking,claims,aliens,surface,internet.",FAKE
F096,Celebrity Scandal Confirmed by Sources,"example,idea,force,significant,physical.,network,radio,enjoy,activity,debate.,standard,window,reach,reason,value.,—,shocking,claims,celebrity,scandal,surface,internet.",FAKE
R247,New Report on Public Health,"want,us,occur,television,pass,ball,unit.,beautiful,research,quite,us,ball,white,college.,experts,discuss,ongoing,developments,public,health.",REAL
F226,Government Cover-Up Confirmed by Sources,"method,hundred,film.,speech,ahead,dinner,suffer,career,teacher,energy.,high,describe,street,account,physical,early,compare.,—,shocking,claims,government,cover-up,surface,internet.",FAKE
F100,Flat Earth Confirmed by Sources,"season,point,movement,heavy,put,turn,part.,throw,financial,national,item.,—,shocking,claims,flat,earth,surface,internet.",FAKE
F246,Government Cover-Up Confirmed by Sources,"end,baby,cover,hotel.,gun,find,pretty,whatever.,—,shocking,claims,government,cover-up,surface,internet.",FAKE
F183,Aliens Confirmed by Sources,"economic,million,suddenly.,large,modern,try.,—,shocking,claims,aliens,surface,internet.",FAKE
R063,New Report on Policy,"quickly,player,different,anyone,series,huge.,water,every,push,industry,mouth,really.,sense,five,rate,effect,bill.,experts,discuss,ongoing,developments,policy.",REAL
R005,New Report on Election,"rock,beat,health,expert.,however,table,open,onto,maintain.,return,check,peace.,experts,discuss,ongoing,developments,election.",REAL
R084,New Report on Election,"card,possible,toward,player,agree.,series,safe,actually,record.,subject,unit,leave,quickly.,experts,discuss,ongoing,developments,election.",REAL
R124,New Report on Education,"entire,area,try,keep,property,boy,majority.,arm,bed.,clearly,lose,happy,suffer,message,treat.,experts,discuss,ongoing,developments,education.",REAL
R118,New Report on Research,"training,alone,mr.,glass,development,trade,compare.,experts,discuss,ongoing,developments,research.",REAL
F001,Aliens Confirmed by Sources,"five,culture,writer,guess,better.,current,number,always,quite,everyone,mention,then.,—,shocking,claims,aliens,surface,internet.",FAKE
F007,Immortal Jellyfish Confirmed by Sources,"crime,watch,stuff.,environmental,peace,institution.,—,shocking,claims,immortal,jellyfish,surface,internet.",FAKE
F046,Mind Control Confirmed by Sources,"whatever,offer,several,writer.,foot,special,suffer,final,culture,tend.,—,shocking,claims,mind,control,surface,internet.",FAKE
R103,New Report on Research,"several,cup,all.,science,similar,cover,especially.,local,spring,effect,see.,address,wall,involve,behind.,experts,discuss,ongoing,developments,research.",REAL
R037,New Report on Budget Report,"environment,never,western,modern,defense,like,back.,capital,tree,rich,kind,bag,card,safe.,experts,discuss,ongoing,developments,budget,report.",REAL
